noserie,vitessecd,memoire,slotram,slotramlibre,cpu,hdd,ip,codos_installer,codos_etiquette
2UA742162W,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2UA74216M4,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2UA7430GWW,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2UA7440M3X,NULL,NULL,NULL,NULL,,,,VIS,VIS
2ua7440m65,48,2048,2,2,"INTEL 2 DUAL",80,,W07,WXP
2ua7440m9k,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2ua74811js,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2ua74811kf,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,VIS
2ua8130ptg,48,1024,1,3,"INTEL CORE 2 DUO",,,W07,VIS
2UA9301DBG,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9301DBL,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA93405TL,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R1H,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R1R,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R1T,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R1V,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R22,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R23,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R2H,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R2R,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R3S,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R4R,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R4S,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R62,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R6C,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R6J,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R72,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R79,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R7Z,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R87,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R8W,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R91,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R92,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R9Q,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R9T,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R9X,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RBK,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RBZ,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RC1,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RCW,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RFD,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RFR,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA936153Z,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2xr42c1,NULL,NULL,NULL,NULL,"INTEL CORE DUO",,,VIS,WXP
2ZPTS81,48,2560,NULL,NULL,"P4 2.8 GHZ",150gO,,W07,WXP
30qts81,48,2048,NULL,NULL,"P4 2.8 GHZ","150 GO",,W07,WXP
315ZK91,NULL,2048,NULL,NULL,"Pentium 4 Dual",80Go,,W07,W07
31JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
35JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
36b43d1,48,4096,NULL,NULL,"CORE 2 DUO",80GO,,W07,WXP
3d5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
3H2WRM1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
3KS0S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
3mcsx11,48,512,NULL,NULL,"P4 1.8ghz",20GO,,WXP,WXP
3pk62b1,48,2048,NULL,NULL,"P4 2.8ghz",80GO,,WXP,WXP
3qk62b1,NULL,2048,NULL,NULL,"PENTIUM 4","80 GO",,W07,WXP
3S81RM1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
40qts81,48,2560,NULL,NULL,"P4 2.8 GHZ","150 GO",,W07,WXP
46b43d1,48,2048,NULL,NULL,"P4 2.8ghz",80GO,,W07,WXP
49lgfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
4B1YWN1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
4B3YX11,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
4DCZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
4GCZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
4JK1S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
4m5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
4tk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
4tscy91,48,2048,NULL,NULL,"P4 2.8 GHZ","150 GO",,W07,WXP
4YB50P1,NULL,3000,NULL,NULL,"i5 M520 2.4Ghz",320Go,,W07,W07
517ZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
53zccb1,48,1024,NULL,NULL,"P4 2.8 GHZ","80 GO",,W07,WXP
56QXR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
58C50P1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
58lgfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
5F1YWN1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
5LR0S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
5m5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
5sk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
5SX1MJ1,NULL,3072,NULL,NULL,"2 Duo P8600",160Go,,W07,VIS
60qts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
6BTZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
6fstt51,48,1024,NULL,NULL,"P4 2.8ghz","40 GO",,WXP,WXP
6nk62b1,48,2048,NULL,NULL,"P4 2.8ghz",80GO,,W07,WXP
6RK3RM1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
6WFQQM1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
6WJ1921,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
6XJ1921,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
6znhx11,48,1024,NULL,NULL,"P4 1.8ghz","40 GO",,WXP,WXP
70qts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
71F50P1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
71TZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
73zhpc1,NULL,1024,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
79034811h,NULL,3072,NULL,NULL,"INTEL CORE 2 DUO",250,,WXP,VIS
7971S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
7C90S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
7d5hfc1,48,2048,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
7FB8GJ1,NULL,3072,NULL,NULL,"2 Duo P8600",160Go,,W07,VIS
7m5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
7MHQQM1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
